interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,publish_time_local,publish_time_utc,region,planned_outages_mw,maintenance_outages_mw,forced_outages_mw,total_outages_mw
2015-11-28 00:00:00-05:00,2015-11-28 05:00:00+00:00,2015-11-29 00:00:00-05:00,2015-11-29 05:00:00+00:00,2015-11-28 00:00:00-05:00,2015-11-28 05:00:00+00:00,Mid Atlantic - Dominion,8009,4490,1039,13538
2015-11-28 00:00:00-05:00,2015-11-28 05:00:00+00:00,2015-11-29 00:00:00-05:00,2015-11-29 05:00:00+00:00,2015-11-28 00:00:00-05:00,2015-11-28 05:00:00+00:00,PJM RTO,14059,7435,4828,26322
2015-11-28 00:00:00-05:00,2015-11-28 05:00:00+00:00,2015-11-29 00:00:00-05:00,2015-11-29 05:00:00+00:00,2015-11-28 00:00:00-05:00,2015-11-28 05:00:00+00:00,Western,6050,2945,3789,12784
2015-11-29 00:00:00-05:00,2015-11-29 05:00:00+00:00,2015-11-30 00:00:00-05:00,2015-11-30 05:00:00+00:00,2015-11-29 00:00:00-05:00,2015-11-29 05:00:00+00:00,Mid Atlantic - Dominion,7760,3230,1165,12155
2015-11-29 00:00:00-05:00,2015-11-29 05:00:00+00:00,2015-11-30 00:00:00-05:00,2015-11-30 05:00:00+00:00,2015-11-29 00:00:00-05:00,2015-11-29 05:00:00+00:00,PJM RTO,13810,7488,5995,27293
2015-11-29 00:00:00-05:00,2015-11-29 05:00:00+00:00,2015-11-30 00:00:00-05:00,2015-11-30 05:00:00+00:00,2015-11-29 00:00:00-05:00,2015-11-29 05:00:00+00:00,Western,6050,4258,4830,15138
2015-11-30 00:00:00-05:00,2015-11-30 05:00:00+00:00,2015-12-01 00:00:00-05:00,2015-12-01 05:00:00+00:00,2015-11-30 00:00:00-05:00,2015-11-30 05:00:00+00:00,Mid Atlantic - Dominion,8165,4601,825,13591
2015-11-30 00:00:00-05:00,2015-11-30 05:00:00+00:00,2015-12-01 00:00:00-05:00,2015-12-01 05:00:00+00:00,2015-11-30 00:00:00-05:00,2015-11-30 05:00:00+00:00,PJM RTO,13865,7024,5764,26653
2015-11-30 00:00:00-05:00,2015-11-30 05:00:00+00:00,2015-12-01 00:00:00-05:00,2015-12-01 05:00:00+00:00,2015-11-30 00:00:00-05:00,2015-11-30 05:00:00+00:00,Western,5700,2423,4939,13062
2015-12-01 00:00:00-05:00,2015-12-01 05:00:00+00:00,2015-12-02 00:00:00-05:00,2015-12-02 05:00:00+00:00,2015-12-01 00:00:00-05:00,2015-12-01 05:00:00+00:00,Mid Atlantic - Dominion,7325,3194,1899,12418
2015-12-01 00:00:00-05:00,2015-12-01 05:00:00+00:00,2015-12-02 00:00:00-05:00,2015-12-02 05:00:00+00:00,2015-12-01 00:00:00-05:00,2015-12-01 05:00:00+00:00,PJM RTO,12823,5692,7196,25711
2015-12-01 00:00:00-05:00,2015-12-01 05:00:00+00:00,2015-12-02 00:00:00-05:00,2015-12-02 05:00:00+00:00,2015-12-01 00:00:00-05:00,2015-12-01 05:00:00+00:00,Western,5498,2498,5297,13293
2015-12-02 00:00:00-05:00,2015-12-02 05:00:00+00:00,2015-12-03 00:00:00-05:00,2015-12-03 05:00:00+00:00,2015-12-02 00:00:00-05:00,2015-12-02 05:00:00+00:00,Mid Atlantic - Dominion,7280,2812,2746,12838
2015-12-02 00:00:00-05:00,2015-12-02 05:00:00+00:00,2015-12-03 00:00:00-05:00,2015-12-03 05:00:00+00:00,2015-12-02 00:00:00-05:00,2015-12-02 05:00:00+00:00,PJM RTO,12778,4670,8780,26228
2015-12-02 00:00:00-05:00,2015-12-02 05:00:00+00:00,2015-12-03 00:00:00-05:00,2015-12-03 05:00:00+00:00,2015-12-02 00:00:00-05:00,2015-12-02 05:00:00+00:00,Western,5498,1858,6034,13390
2015-12-03 00:00:00-05:00,2015-12-03 05:00:00+00:00,2015-12-04 00:00:00-05:00,2015-12-04 05:00:00+00:00,2015-12-03 00:00:00-05:00,2015-12-03 05:00:00+00:00,Mid Atlantic - Dominion,7156,4585,3161,14902
2015-12-03 00:00:00-05:00,2015-12-03 05:00:00+00:00,2015-12-04 00:00:00-05:00,2015-12-04 05:00:00+00:00,2015-12-03 00:00:00-05:00,2015-12-03 05:00:00+00:00,PJM RTO,12610,7584,9281,29475
2015-12-03 00:00:00-05:00,2015-12-03 05:00:00+00:00,2015-12-04 00:00:00-05:00,2015-12-04 05:00:00+00:00,2015-12-03 00:00:00-05:00,2015-12-03 05:00:00+00:00,Western,5454,2999,6120,14573
2015-12-04 00:00:00-05:00,2015-12-04 05:00:00+00:00,2015-12-05 00:00:00-05:00,2015-12-05 05:00:00+00:00,2015-12-04 00:00:00-05:00,2015-12-04 05:00:00+00:00,Mid Atlantic - Dominion,6557,5112,3284,14953
2015-12-04 00:00:00-05:00,2015-12-04 05:00:00+00:00,2015-12-05 00:00:00-05:00,2015-12-05 05:00:00+00:00,2015-12-04 00:00:00-05:00,2015-12-04 05:00:00+00:00,PJM RTO,12011,10258,8684,30953
2015-12-04 00:00:00-05:00,2015-12-04 05:00:00+00:00,2015-12-05 00:00:00-05:00,2015-12-05 05:00:00+00:00,2015-12-04 00:00:00-05:00,2015-12-04 05:00:00+00:00,Western,5454,5146,5400,16000
2015-12-05 00:00:00-05:00,2015-12-05 05:00:00+00:00,2015-12-06 00:00:00-05:00,2015-12-06 05:00:00+00:00,2015-12-05 00:00:00-05:00,2015-12-05 05:00:00+00:00,Mid Atlantic - Dominion,6639,6363,2221,15223
2015-12-05 00:00:00-05:00,2015-12-05 05:00:00+00:00,2015-12-06 00:00:00-05:00,2015-12-06 05:00:00+00:00,2015-12-05 00:00:00-05:00,2015-12-05 05:00:00+00:00,PJM RTO,12698,13014,6804,32516
2015-12-05 00:00:00-05:00,2015-12-05 05:00:00+00:00,2015-12-06 00:00:00-05:00,2015-12-06 05:00:00+00:00,2015-12-05 00:00:00-05:00,2015-12-05 05:00:00+00:00,Western,6059,6651,4583,17293
2015-12-06 00:00:00-05:00,2015-12-06 05:00:00+00:00,2015-12-07 00:00:00-05:00,2015-12-07 05:00:00+00:00,2015-12-06 00:00:00-05:00,2015-12-06 05:00:00+00:00,Mid Atlantic - Dominion,6450,5310,2371,14131
2015-12-06 00:00:00-05:00,2015-12-06 05:00:00+00:00,2015-12-07 00:00:00-05:00,2015-12-07 05:00:00+00:00,2015-12-06 00:00:00-05:00,2015-12-06 05:00:00+00:00,PJM RTO,12509,12884,6431,31824
2015-12-06 00:00:00-05:00,2015-12-06 05:00:00+00:00,2015-12-07 00:00:00-05:00,2015-12-07 05:00:00+00:00,2015-12-06 00:00:00-05:00,2015-12-06 05:00:00+00:00,Western,6059,7574,4060,17693
2015-12-07 00:00:00-05:00,2015-12-07 05:00:00+00:00,2015-12-08 00:00:00-05:00,2015-12-08 05:00:00+00:00,2015-12-07 00:00:00-05:00,2015-12-07 05:00:00+00:00,Mid Atlantic - Dominion,6245,5389,2638,14272
2015-12-07 00:00:00-05:00,2015-12-07 05:00:00+00:00,2015-12-08 00:00:00-05:00,2015-12-08 05:00:00+00:00,2015-12-07 00:00:00-05:00,2015-12-07 05:00:00+00:00,PJM RTO,11858,10854,6671,29383
2015-12-07 00:00:00-05:00,2015-12-07 05:00:00+00:00,2015-12-08 00:00:00-05:00,2015-12-08 05:00:00+00:00,2015-12-07 00:00:00-05:00,2015-12-07 05:00:00+00:00,Western,5613,5465,4033,15111
2015-12-08 00:00:00-05:00,2015-12-08 05:00:00+00:00,2015-12-09 00:00:00-05:00,2015-12-09 05:00:00+00:00,2015-12-08 00:00:00-05:00,2015-12-08 05:00:00+00:00,Mid Atlantic - Dominion,5945,6520,2648,15113
2015-12-08 00:00:00-05:00,2015-12-08 05:00:00+00:00,2015-12-09 00:00:00-05:00,2015-12-09 05:00:00+00:00,2015-12-08 00:00:00-05:00,2015-12-08 05:00:00+00:00,PJM RTO,11499,12971,8180,32650
2015-12-08 00:00:00-05:00,2015-12-08 05:00:00+00:00,2015-12-09 00:00:00-05:00,2015-12-09 05:00:00+00:00,2015-12-08 00:00:00-05:00,2015-12-08 05:00:00+00:00,Western,5554,6451,5532,17537
2015-12-09 00:00:00-05:00,2015-12-09 05:00:00+00:00,2015-12-10 00:00:00-05:00,2015-12-10 05:00:00+00:00,2015-12-09 00:00:00-05:00,2015-12-09 05:00:00+00:00,Mid Atlantic - Dominion,5234,4681,2661,12576
2015-12-09 00:00:00-05:00,2015-12-09 05:00:00+00:00,2015-12-10 00:00:00-05:00,2015-12-10 05:00:00+00:00,2015-12-09 00:00:00-05:00,2015-12-09 05:00:00+00:00,PJM RTO,10788,9374,7842,28004
2015-12-09 00:00:00-05:00,2015-12-09 05:00:00+00:00,2015-12-10 00:00:00-05:00,2015-12-10 05:00:00+00:00,2015-12-09 00:00:00-05:00,2015-12-09 05:00:00+00:00,Western,5554,4693,5181,15428
2015-12-10 00:00:00-05:00,2015-12-10 05:00:00+00:00,2015-12-11 00:00:00-05:00,2015-12-11 05:00:00+00:00,2015-12-10 00:00:00-05:00,2015-12-10 05:00:00+00:00,Mid Atlantic - Dominion,4390,6363,2839,13592
2015-12-10 00:00:00-05:00,2015-12-10 05:00:00+00:00,2015-12-11 00:00:00-05:00,2015-12-11 05:00:00+00:00,2015-12-10 00:00:00-05:00,2015-12-10 05:00:00+00:00,PJM RTO,10529,12193,7873,30595
2015-12-10 00:00:00-05:00,2015-12-10 05:00:00+00:00,2015-12-11 00:00:00-05:00,2015-12-11 05:00:00+00:00,2015-12-10 00:00:00-05:00,2015-12-10 05:00:00+00:00,Western,6139,5830,5034,17003
2015-12-11 00:00:00-05:00,2015-12-11 05:00:00+00:00,2015-12-12 00:00:00-05:00,2015-12-12 05:00:00+00:00,2015-12-11 00:00:00-05:00,2015-12-11 05:00:00+00:00,Mid Atlantic - Dominion,4280,7500,2887,14667
2015-12-11 00:00:00-05:00,2015-12-11 05:00:00+00:00,2015-12-12 00:00:00-05:00,2015-12-12 05:00:00+00:00,2015-12-11 00:00:00-05:00,2015-12-11 05:00:00+00:00,PJM RTO,10419,12373,8045,30837
2015-12-11 00:00:00-05:00,2015-12-11 05:00:00+00:00,2015-12-12 00:00:00-05:00,2015-12-12 05:00:00+00:00,2015-12-11 00:00:00-05:00,2015-12-11 05:00:00+00:00,Western,6139,4873,5158,16170
2015-12-12 00:00:00-05:00,2015-12-12 05:00:00+00:00,2015-12-13 00:00:00-05:00,2015-12-13 05:00:00+00:00,2015-12-12 00:00:00-05:00,2015-12-12 05:00:00+00:00,Mid Atlantic - Dominion,2761,9486,2289,14536
2015-12-12 00:00:00-05:00,2015-12-12 05:00:00+00:00,2015-12-13 00:00:00-05:00,2015-12-13 05:00:00+00:00,2015-12-12 00:00:00-05:00,2015-12-12 05:00:00+00:00,PJM RTO,8820,16767,7030,32617
2015-12-12 00:00:00-05:00,2015-12-12 05:00:00+00:00,2015-12-13 00:00:00-05:00,2015-12-13 05:00:00+00:00,2015-12-12 00:00:00-05:00,2015-12-12 05:00:00+00:00,Western,6059,7281,4741,18081
2015-12-13 00:00:00-05:00,2015-12-13 05:00:00+00:00,2015-12-14 00:00:00-05:00,2015-12-14 05:00:00+00:00,2015-12-13 00:00:00-05:00,2015-12-13 05:00:00+00:00,Mid Atlantic - Dominion,2656,7964,2084,12704
2015-12-13 00:00:00-05:00,2015-12-13 05:00:00+00:00,2015-12-14 00:00:00-05:00,2015-12-14 05:00:00+00:00,2015-12-13 00:00:00-05:00,2015-12-13 05:00:00+00:00,PJM RTO,8715,14432,6686,29833
